,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
255,19165,13.334849,14.48969,198.14041,215.3,0.39536798,-17.159592
256,19167,13.3136015,14.28106,197.82469,212.20001,0.45869058,-14.37532
257,19169,13.161478,14.26087,195.56432,211.90001,0.38581672,-16.335693
258,19171,13.672931,14.02532,203.16391,208.40001,0.40082395,-5.2360992
259,19173,11.209378,10.76127,166.55836,159.9,0.52371335,6.658371
260,19175,11.227925,12.3159,166.83395,183.0,0.54334193,-16.166046
261,19177,12.084012,12.7197,179.55441,189.0,0.54096967,-9.445587
262,19179,12.47182,13.25137,185.31679,196.90001,0.4464901,-11.583221
263,19181,11.567258,12.42358,171.87605,184.6,0.5760216,-12.723953
264,19183,13.149061,14.01186,195.3798,208.2,0.4653558,-12.82019
265,19185,11.618083,11.74385,172.63126,174.5,0.57603514,-1.8687439
266,19187,12.979008,13.51384,192.85301,200.8,0.3965722,-7.946991
267,19189,13.049423,13.31867,193.8993,197.90001,0.41057444,-4.000702
268,19191,12.926911,14.18011,192.07892,210.7,0.46988937,-18.621078
269,19193,12.537092,13.70901,186.28667,203.7,0.528182,-17.41333
270,19195,12.443374,12.88795,184.89412,191.5,0.4390476,-6.6058807
271,19197,12.946473,13.47346,192.36958,200.20001,0.3899821,-7.830429
272,20003,7.885579,8.19041,117.17057,121.7,0.8246429,-4.5294266
273,20005,9.501323,10.13538,141.17865,150.59999,0.6222628,-9.421341
274,20009,10.287019,10.08154,152.85318,149.8,0.7417473,3.0531769
275,20011,8.740192,8.54037,129.86913,126.9,0.9252748,2.9691238
276,20013,11.326758,11.01028,168.3025,163.59999,0.5729851,4.7025146
277,20015,7.7312098,8.17695,114.876816,121.50001,0.8210053,-6.623192
278,20019,7.22229,6.75019,107.31486,100.299995,0.85175407,7.014862
279,20021,8.101286,9.73158,120.37572,144.59999,0.987123,-24.224274
280,20023,9.115805,10.41131,135.45029,154.7,0.912828,-19.24971
281,20029,11.747851,10.66032,174.55946,158.40001,0.59442496,16.159454
282,20031,8.041128,7.86064,119.48185,116.8,0.78859955,2.6818466
283,20035,7.3776455,7.34243,109.62326,109.100006,0.8962001,0.5232544
284,20039,5.951987,7.22802,88.43963,107.4,0.7572146,-18.960373
285,20043,12.413873,12.55818,184.45576,186.6,0.55750483,-2.1442413
286,20045,8.329603,8.92398,123.76825,132.59999,0.8235712,-8.831741
287,20059,8.544425,9.2874,126.96025,138.0,0.7899322,-11.039749
288,20061,10.134805,9.83926,150.59146,146.2,0.6600641,4.391464
289,20063,7.8810625,7.49722,117.103455,111.4,0.8691022,5.703453
290,20067,12.914144,12.74662,191.8892,189.40001,0.89048725,2.4891968
291,20069,13.783103,12.47742,204.80093,185.4,0.77258015,19.40094
292,20077,6.7985964,4.87252,101.019264,72.4,1.2965044,28.619263
293,20079,8.25459,8.55383,122.65364,127.100006,0.9714324,-4.4463654
294,20085,9.069963,9.2874,134.76915,138.0,0.65871483,-3.2308502
295,20087,9.443611,9.91329,140.32112,147.3,0.65837705,-6.978882
296,20093,12.890246,10.9699,191.53412,163.0,0.7939653,28.534119
297,20095,10.528523,8.66151,156.44165,128.70001,1.0865321,27.741638
298,20103,8.677798,8.75573,128.94203,130.09999,0.7881161,-1.157959
299,20105,7.902144,7.47703,117.4167,111.1,0.75294524,6.316704
300,20111,8.158856,7.63182,121.23115,113.4,0.7390596,7.8311462
301,20113,8.743335,9.56333,129.91582,142.09999,0.8890401,-12.184174
302,20115,7.653888,8.36539,113.72791,124.299995,0.81975347,-10.5720825
303,20117,9.073409,8.84995,134.82034,131.5,0.6170792,3.320343
304,20121,8.051244,9.73158,119.63215,144.59999,0.8046648,-24.967842
305,20123,9.379811,9.24702,139.37312,137.4,0.70950735,1.9731293
306,20125,7.353102,7.25494,109.258575,107.8,0.9696491,1.4585724
307,20127,7.3147817,7.32897,108.68918,108.9,0.7120496,-0.21082306
308,20131,9.626826,9.75177,143.04349,144.90001,0.6415888,-1.8565216
309,20133,8.711766,8.78938,129.44675,130.6,0.9441233,-1.1532593
310,20135,8.083804,6.80403,120.11596,101.1,0.8280729,19.01596
311,20139,7.9248185,7.8741,117.75362,117.00001,0.73807144,0.7536087
312,20141,9.21354,8.60094,136.90253,127.799995,0.70113975,9.102531
313,20143,9.178785,9.40854,136.38611,139.8,0.755659,-3.4138947
314,20145,10.718387,10.71416,159.2628,159.2,0.74070853,0.062805176
315,20147,8.666064,8.70189,128.76767,129.3,0.76157004,-0.5323334
316,20149,10.084457,9.85272,149.84335,146.40001,0.53867006,3.443344
317,20151,11.34698,10.37766,168.60298,154.2,0.80306554,14.402985
318,20153,5.9769516,7.70585,88.81058,114.5,0.8210599,-25.689423
319,20157,11.655625,10.53245,173.18909,156.5,0.55747104,16.689087
320,20159,9.020953,8.63459,134.04091,128.3,0.84899163,5.740906
321,20163,7.506356,6.85114,111.53575,101.8,0.7592299,9.735748
322,20165,9.664177,8.66824,143.59846,128.79999,0.6750417,14.798477
323,20173,9.163495,8.23079,136.15892,122.3,1.0565348,13.858917
324,20175,13.670987,13.06966,203.13503,194.20001,0.6773788,8.935013
325,20177,9.494493,9.3547,141.07716,139.0,0.64633936,2.0771637
326,20179,9.798764,9.21337,145.59828,136.90001,0.77933764,8.698273
327,20181,9.585187,8.84322,142.42477,131.4,0.88751256,11.02478
328,20185,11.315519,9.32105,168.1355,138.5,0.75857264,29.635498
329,20189,13.8503065,11.80442,205.7995,175.40001,0.75426567,30.39949
330,20191,7.864282,6.42042,116.85412,95.4,1.0585874,21.454117
331,20197,8.590844,7.94813,127.64999,118.100006,0.5864538,9.54998
332,20201,9.209547,8.39231,136.8432,124.700005,0.5949494,12.143196
333,20203,9.904679,10.26998,147.17206,152.6,0.89484286,-5.427948
334,20205,8.389519,9.30086,124.65852,138.20001,0.9164383,-13.541489
335,26001,7.5749483,7.85391,112.554955,116.700005,1.1945958,-4.14505
336,26005,11.688833,11.66309,173.68251,173.3,0.6620213,0.38250732
337,26007,6.955265,5.98297,103.347176,88.9,1.2294427,14.447174
338,26009,8.272064,8.25771,122.91329,122.700005,1.1884228,0.21328735
339,26011,9.981316,9.87291,148.31078,146.7,1.0950539,1.6107788
340,26015,10.540374,10.095,156.61774,150.0,0.70018905,6.617737
341,26017,10.822057,11.29967,160.80322,167.90001,0.7760034,-7.0967865
342,26025,11.221434,9.17299,166.7375,136.3,0.63769406,30.4375
343,26027,11.294126,10.39112,167.81761,154.4,0.6836765,13.417618
344,26029,8.142939,6.51464,120.99463,96.799995,1.2427406,24.194633
345,26035,8.569213,7.91448,127.328575,117.600006,1.0758209,9.728569
346,26037,10.998765,11.08431,163.42891,164.7,0.7234374,-1.2710876
347,26041,7.6863327,8.65478,114.21,128.6,1.2536739,-14.390007
348,26043,7.5255423,7.62509,111.82084,113.3,1.3275924,-1.4791641
349,26051,9.680108,9.79888,143.83519,145.59999,1.0642515,-1.764801
350,26055,7.495264,5.5859,111.37094,83.0,1.404876,28.370941
351,26057,11.755246,10.77473,174.66934,160.09999,0.669203,14.569351
352,26059,11.466058,10.96317,170.37233,162.90001,0.61441094,7.4723206
353,26063,10.562146,11.48811,156.94125,170.7,0.95042163,-13.758743
354,26065,10.802492,10.57956,160.51251,157.20001,0.74680585,3.3125
355,26067,11.757723,11.41408,174.70613,169.59999,0.6368663,5.10614
356,26069,8.5442915,8.67497,126.95827,128.9,1.2357723,-1.9417267
357,26073,10.769019,10.45169,160.01515,155.3,0.81789416,4.715149
358,26075,9.990142,8.32501,148.44193,123.700005,0.8259899,24.74192
359,26077,11.573854,10.15557,171.97406,150.90001,0.6604925,21.07405
360,26081,10.947152,10.82857,162.66199,160.90001,0.8063181,1.7619781
361,26085,8.46951,8.80284,125.84711,130.8,1.2454672,-4.952896
362,26087,10.733022,11.48811,159.48027,170.7,0.6688575,-11.219727
363,26089,6.260045,3.7688,93.01701,56.0,1.3741189,37.017014
364,26091,11.490494,11.15161,170.73543,165.70001,0.6591688,5.0354156
365,26093,10.257457,10.47188,152.41393,155.6,0.78350705,-3.186081
366,26099,11.672324,11.34678,173.43721,168.6,0.90282977,4.837204
367,26101,8.474072,5.76761,125.914894,85.700005,1.1945657,40.21489
368,26105,9.418729,9.46238,139.9514,140.6,1.0331913,-0.64860535
369,26107,10.348821,9.75177,153.77148,144.90001,0.9289329,8.871475
370,26109,8.876121,8.93744,131.88887,132.8,1.102392,-0.9111328
371,26111,11.304516,11.36697,167.972,168.90001,0.7849338,-0.92800903
372,26113,9.266207,8.73554,137.68509,129.8,1.1016879,7.885086
373,26115,11.109601,11.40735,165.07579,169.5,0.7628061,-4.4242096
374,26117,10.924784,10.50553,162.32962,156.1,0.7956792,6.2296143
375,26119,7.0841346,4.79849,105.26203,71.3,1.3313538,33.96203
