,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
200,19195,4.2498546,3.80918,63.147915,56.600002,0.16847472,6.5479126
201,19197,4.3696966,3.73515,64.92863,55.500004,0.18467887,9.428623
202,20001,2.6602452,1.78345,39.52816,26.5,0.37449342,13.02816
203,20003,3.1751413,2.42953,47.17892,36.1,0.36505175,11.078922
204,20005,3.982667,3.62074,59.177814,53.8,0.47526214,5.3778152
205,20009,2.313858,2.24782,34.38125,33.399998,0.48026127,0.98125076
206,20011,2.6918797,1.37292,39.998215,20.400002,0.3338074,19.598213
207,20013,4.4111238,3.9707,65.54419,59.0,0.5103056,6.5441895
208,20015,2.5338027,2.02573,37.649372,30.099998,0.5397165,7.5493736
209,20017,3.2470088,2.8939,48.246788,43.0,0.3972613,5.246788
210,20027,3.305686,2.692,49.118664,40.0,0.63128567,9.118664
211,20029,2.666333,2.20744,39.618618,32.8,0.5790144,6.818619
212,20031,3.0367231,1.91132,45.12219,28.4,0.3963776,16.722189
213,20035,2.5159602,1.08353,37.384254,16.099998,0.36644047,21.284256
214,20041,2.5272222,2.019,37.551594,30.000002,0.40610918,7.551592
215,20045,3.2000706,2.54394,47.54934,37.800003,0.449182,9.749336
216,20047,3.7527056,3.40538,55.760857,50.600002,0.81145567,5.1608543
217,20049,2.4352193,1.15756,36.184536,17.2,0.32550427,18.984535
218,20059,3.2440844,2.61124,48.203335,38.8,0.35772434,9.403336
219,20061,3.534976,2.61124,52.525646,38.8,0.54714227,13.725647
220,20073,2.6480913,1.81037,39.34757,26.9,0.35438383,12.447569
221,20085,3.6749122,2.90063,54.60494,43.100002,0.48618513,11.504936
222,20091,2.971176,1.80364,44.14823,26.800001,0.4217708,17.34823
223,20095,1.9147882,2.1536,28.451534,32.0,0.39290458,-3.5484657
224,20099,2.2930694,1.38638,34.072353,20.6,0.30317938,13.472353
225,20103,3.6478672,3.2304,54.20308,48.0,0.3838306,6.203079
226,20105,2.3961267,1.80364,35.60367,26.800001,0.34873378,8.803667
227,20111,3.3621335,2.42953,49.95741,36.1,0.43855172,13.85741
228,20113,2.384933,2.36896,35.43734,35.2,0.38306847,0.23733902
229,20115,2.6127033,2.24782,38.821743,33.399998,0.42572466,5.4217453
230,20121,2.9888382,1.75653,44.41067,26.1,0.3186658,18.31067
231,20123,2.127901,1.31908,31.618145,19.6,0.37700436,12.018145
232,20125,2.3239589,1.46041,34.531334,21.7,0.26871336,12.831333
233,20127,3.0573435,2.17379,45.42858,32.3,0.42610112,13.128582
234,20131,3.9153852,3.23713,58.17809,48.1,0.5826885,10.078091
235,20133,2.5239952,1.77672,37.503643,26.400002,0.33062848,11.1036415
236,20139,3.234322,2.58432,48.058277,38.4,0.45673817,9.658276
237,20143,2.4232507,2.019,36.0067,30.000002,0.4032532,6.0066967
238,20151,3.3259282,2.71219,49.419437,40.3,0.712407,9.119438
