,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
521,38077,10.646037,11.58906,158.18777,172.2,0.74768424,-14.012222
522,38079,8.786862,8.02889,130.56259,119.299995,0.90102243,11.262596
523,38081,10.845344,11.85826,161.14923,176.2,0.7321402,-15.050766
524,38083,9.512239,9.39508,141.34085,139.59999,0.74035454,1.74086
525,38087,5.057666,4.68408,75.151054,69.600006,1.2753932,5.5510483
526,38089,6.2873363,5.76088,93.42253,85.6,1.1633226,7.8225327
527,38091,9.741956,10.90933,144.75417,162.1,0.66246855,-17.34584
528,38093,9.965693,10.46515,148.07866,155.5,0.711256,-7.421341
529,38097,10.132119,11.32659,150.55154,168.3,0.7107478,-17.748459
530,38099,9.148558,10.00078,135.93697,148.6,0.8213481,-12.66304
531,38101,8.910267,7.76642,132.39624,115.4,0.8193746,16.996239
532,38103,9.274848,10.66705,137.81349,158.5,0.7828777,-20.686508
533,38105,7.510598,5.44457,111.598785,80.9,1.1554623,30.698784
534,39001,9.626551,8.66151,143.03938,128.70001,0.8530732,14.339371
535,39003,12.947779,13.04947,192.38899,193.9,0.46758118,-1.5110016
536,39007,12.252188,11.58233,182.05331,172.09999,0.47570434,9.953323
537,39009,8.924652,10.0277,132.60999,149.00002,1.0720762,-16.39003
538,39011,12.524535,13.06966,186.10008,194.20001,0.49767393,-8.09993
539,39015,11.478253,10.75454,170.55354,159.8,0.53011936,10.75354
540,39017,12.367248,11.85153,183.76297,176.1,0.71257025,7.662964
541,39019,8.399695,7.8741,124.80974,117.00001,0.9357513,7.8097305
542,39021,12.266366,12.13419,182.26398,180.3,0.5864784,1.963974
543,39023,12.81183,13.48692,190.36894,200.40001,0.59506965,-10.031067
544,39027,13.491873,13.97148,200.4736,207.6,0.46033072,-7.126404
545,39029,10.198053,10.41131,151.53125,154.7,0.69481725,-3.168747
546,39031,10.267613,9.92675,152.56483,147.5,0.723912,5.0648346
547,39033,12.545995,13.60806,186.41895,202.2,0.50611955,-15.781052
548,39039,11.868943,11.56887,176.35875,171.9,0.53298205,4.4587555
549,39041,11.895095,12.29571,176.74733,182.7,0.62120914,-5.952667
550,39043,12.817309,12.9889,190.45036,193.0,0.49313775,-2.5496368
551,39045,11.689034,10.58629,173.6855,157.3,0.6293458,16.385498
552,39047,12.494516,10.84203,185.65404,161.09999,0.5307828,24.554047
553,39051,12.469393,12.13419,185.28073,180.3,0.5468068,4.980728
554,39053,9.719594,8.06254,144.4219,119.8,0.9459588,24.621902
555,39055,10.512258,10.41131,156.19997,154.7,0.7807815,1.4999695
556,39057,13.312925,12.15438,197.81464,180.6,0.5580294,17.21463
557,39059,8.940509,9.28067,132.8456,137.90001,0.9493295,-5.054413
558,39063,12.7439165,12.30917,189.35983,182.9,0.43412188,6.459839
559,39065,12.437821,11.78423,184.81161,175.1,0.46863404,9.711609
560,39069,12.695902,13.31867,188.6464,197.90001,0.5020319,-9.253616
561,39071,11.253154,9.59698,167.20883,142.6,0.6560485,24.608826
562,39075,10.484976,10.78146,155.79459,160.2,0.66308296,-4.405411
563,39077,12.381504,12.37647,183.97481,183.9,0.50601286,0.07481384
564,39081,8.2226715,5.82145,122.17937,86.50001,1.061938,35.67936
565,39083,12.06232,12.76681,179.23209,189.70001,0.5428908,-10.467926
566,39091,11.841791,12.05343,175.95529,179.09999,0.54918516,-3.144699
567,39095,12.111749,12.34282,179.96655,183.40001,0.7434405,-3.4334564
568,39097,12.301657,12.02651,182.78836,178.70001,0.54305226,4.0883484
569,39099,10.602248,11.48811,157.53712,170.7,0.7041142,-13.162872
570,39101,11.841853,12.16784,175.95622,180.8,0.52237725,-4.8437805
571,39105,7.732854,6.09065,114.901245,90.5,1.2449839,24.401245
572,39111,9.318313,6.29255,138.45932,93.5,1.00235,44.95932
573,39113,12.091737,12.03997,179.66919,178.90001,0.7184571,0.7691803
574,39115,8.739335,9.19991,129.85638,136.7,1.0254407,-6.8436127
575,39117,11.84299,12.34955,175.9731,183.5,0.53745353,-7.5269012
576,39119,10.151643,10.12865,150.84164,150.5,0.7713406,0.3416443
577,39123,11.255475,10.82857,167.24332,160.90001,0.57429487,6.3433075
578,39125,12.228196,12.26879,181.69682,182.3,0.5187019,-0.60317993
579,39129,10.670575,9.03166,158.55238,134.2,0.6394999,24.352386
580,39131,9.7738285,8.66151,145.22777,128.70001,0.8961217,16.527756
581,39133,11.172808,12.02651,166.01497,178.70001,0.62862134,-12.685043
582,39135,13.034549,13.29848,193.67828,197.6,0.52464366,-3.9217224
583,39137,12.794066,12.36301,190.105,183.70001,0.4636734,6.4049835
584,39139,11.494882,11.86499,170.80061,176.3,0.6143831,-5.4993896
585,39141,10.755681,9.77869,159.81696,145.3,0.7388267,14.5169525
586,39143,12.759825,13.39943,189.5962,199.1,0.5246049,-9.503799
587,39145,11.018113,10.35074,163.7164,153.8,0.7065791,9.916397
588,39147,12.353326,12.16784,183.5561,180.8,0.50319237,2.7561035
589,39149,12.554927,11.55541,186.55167,171.70001,0.49301824,14.851654
590,39151,10.660005,11.00355,158.39531,163.5,0.70406276,-5.1046906
591,39155,11.89199,12.03324,176.70119,178.8,0.5478236,-2.098816
592,39157,9.484524,9.39508,140.92903,139.59999,0.8358147,1.3290405
593,39159,11.647815,11.48138,173.07303,170.6,0.5985623,2.4730225
594,39165,12.591353,12.59856,187.09293,187.20001,0.65040076,-0.10708618
595,39167,8.874585,7.83372,131.86606,116.4,1.071024,15.466057
596,39169,11.425944,11.89864,169.77629,176.8,0.61842686,-7.023712
597,39171,12.0593405,12.30917,179.18782,182.9,0.51468515,-3.7121735
598,39173,12.4512415,12.34955,185.01102,183.5,0.55975264,1.5110168
599,39175,12.041086,11.70347,178.91658,173.90001,0.5071309,5.016571
600,46003,10.920451,10.66705,162.26524,158.5,0.66816455,3.7652435
601,46009,11.342146,11.15161,168.53114,165.70001,0.61566633,2.831131
602,46011,11.973512,13.10331,177.9125,194.7,0.5393755,-16.78749
603,46013,12.186215,12.56491,181.07304,186.7,0.5740187,-5.626953
604,46015,11.040996,10.82857,164.0564,160.90001,0.83131593,3.1563873
605,46017,10.844024,11.27948,161.12962,167.6,0.8629343,-6.4703827
606,46021,9.649206,10.35074,143.37602,153.8,0.76749164,-10.423981
607,46023,11.173369,10.40458,166.02332,154.6,0.69796175,11.423309
608,46025,11.707334,12.77354,173.95741,189.79999,0.5747766,-15.842575
609,46027,10.669633,11.38716,158.53838,169.20001,0.68069726,-10.661636
610,46035,11.121055,11.29967,165.24599,167.90001,0.62421745,-2.6540222
611,46037,11.154265,12.74662,165.73946,189.40001,0.66151303,-23.660553
612,46039,11.9586,12.52453,177.69093,186.1,0.5677731,-8.409073
613,46041,8.115969,6.87133,120.59389,102.1,1.1024913,18.493889
614,46043,11.392971,9.50949,169.28635,141.3,0.6358004,27.986343
615,46045,10.604459,10.65359,157.56996,158.3,0.6670747,-0.7300415
616,46047,9.760436,8.42596,145.02876,125.2,1.4711803,19.828766
617,46051,11.316287,12.08035,168.14691,179.5,0.6467436,-11.353088
618,46055,5.4831076,5.00039,81.472626,74.3,1.229594,7.1726227
619,46059,11.084144,10.11519,164.69753,150.29999,0.73010975,14.397537
620,46061,11.110545,10.88241,165.08983,161.7,0.57468784,3.3898315
